Title,Price,Location
"$3,5oo 3Bed 2Bath DUPLEX w/Laundry+Garage",$3,"60th Street, Maspeth Ave ~ Queens"
1 Bedroom Attic Apartment,"$1,800","Greenwich,CT"
94TH STREET AND 64TH AVE TWO BEDROOMS NEAR #7 M R E TRAIN 30MIN TO N Y,"$2,195",ELMHURST
Luxurious Building - 1 Bed 1 Bath - NO FEE,"$3,190",Bronx
PATIO WITH GARDEN.  UNFURNISHED / FURNISHED.  NEAR ALL.,"$2,800",Ozone Park / Jamaica / Richmond Hill / Queens
"Luxurious Studio with Washer/Dryer in the Unit - $3,720 NO FEE & 1 mon","$3,720",Long Island City
"$2,900 - 2 Bedroom - Balcony - Laundry in the Building","$2,900",Whitestone
"$2,175 - Top Floor - Studio - Balcony - Laundry in the Building","$2,175",Whitestone
Huge williamsburg 2 bedroom $4400,"$4,400",Brooklyn willaimsburg
Williamsburg 1 bedroom $2700,"$2,700",Brooklyn williamsburg
"Cheap Studio - Woodside Avenue - $1,850","$1,850",Queens
COMPLETELY RENOVATED-CONDO FINISHES-TOP FLOOR-OPEN KITCHEN-CLOSETS,"$5,500",TriBeCa
WS=ALL AMENITIES INCLUDED=ECO FRIENDLY LUXURY HIGH RISE,"$4,500",TriBeCa
TOP FLOOR=RENOVATED=MASSIVE CLOSET SPACE=HIGH END CONDO FINISHES,"$4,000",TriBeCa
AWESOME SUN WASHED EV FLOOR THRU LOFT + 750SF PRIVATE DECK__ RARE!,"$4,995",East Village
3 BED 2 BATH,"$3,000",JAMAICA
Apartment in Beautiful Brownstone Light & Gas Included,"$1,795",crown heights
ENCHANTING SUN WASHED WV PARLOR FLOOR 2 BED__ELEV/ LNDRY BLDG - RARE!,"$4,995",West Village
Stunning Renovated 3 Bedroom in the Upper East Side! Great Price!,"$2,950",Upper East Side
"NO FEE LARGE 1 BEDROOM, 2 SUBWAY LINES TO THE CITY","$1,625",MORRIS HEIGHTS
PRICE DROP!!XL 2BDRM/1BATH!!!AMAZING DEAL!!DON'T MISS OUT !!,"$2,999",BROOKLYN
No Fee- One Bedroom-3 closets-Balcony,"$2,100",Woodside
Huge 2 Bedroom West 145th Street,"$3,100",Inwood / Wash Hts
Whole floor in a private house. Renovated. Large private terrace,"$2,700",Glendale
__HUGE LivingRom 2 Full Bath - Elevator - Gym - Laundry InApt - Roof__,"$4,000",WILLIAMSBURG right @ M L J Trains___________________________
ONE BEDROOM SECOND FLOOR,"$1,875",GREAT KILLS
"2Bath,Large,Balcony,Heat Incl,Parking,Pet OK*Hablo Español","$2,900",Howard Beach
SHOWINGS FOR PRO-GRAM APTS,"$4,070",Bronx
Spacious 3-bedroom Home,"$2,975",brooklyn
SHOWINGS FOR PRO-GRAM APTS,"$3,777",Bronx
Single Family House,"$3,800",St. George
Studio for rent in Astoria for 1 person,"$1,000","Astoria,Queens"
Beautiful 2 bedroom apartment on the 2nd floor,"$3,200",Astoria
***  Beautifully renovated - One bedroom for rent ***,"$2,200",Jackson Heights
2 bedroom Oct to mid May Furnished winter rental  by owner,"$2,350",Long Beach / Lido
Apartment for Rent,"$1,450",Glen Cove
Brand new studio Apartment. -cityfheps welcome,"$2,500",Bronx
Brand new studio Apartment. -HASA welcome,"$2,500",Bronx
Giant+ very sunny 1.5bed loft in prime BW+laundry+storage space+,"$3,900",Bushwick @ Jefferson L
Rare one bed apartment,"$2,300",Upper East Side
"LOW $1K FEE! Sweet studio, quiet, bright, prime West Vil block, VIDEO","$3,295",West Village
NO FEE! SPACIOUS 2 Bed/ 1 Bath IN PRIME Location near Atlantic Ave!,"$3,595",Boerum Hill/ Atlantic Ave
NO FEE! 1 Bed/ 1 Bath in a FULLY AMENITY BLDG in a Prime Location!,"$3,650",Prospect heights/Crown Heights
"NO FEE! Beautiful 3 Bed/ 2 Bath, In The Heart Of Park Slope!","$5,000",South Slope/ 4th ave
NO FEE! LARGE 4 Bed/ 2 Bath with Dishwasher and Laundry in Unit!,"$3,662",Flatbush/ South Midwood
NO FEE! LARGE 4 Bed/ 2 Bath with Dishwasher and Laundry in Unit!,"$3,662",South Midwood/ Flatbush
1 bedroom $1700,"$1,700",Brooklyn
NO FEE! Newly Renovated 2 Bed/ 2 Bath Near Prospect Park!,"$3,995",Park Slope/ South Slope
"NO FEE! Beautiful 3 Bed/ 2 Bath, In The Heart Of Prospect Heights!","$5,495",Prospect Heigths / Park Slope
"AWESOME DEAL, SUNNY 2room STUDIO w/dishwasher","$2,450",East Village
1 bedroom apartment in Private House,"$2,450",Melrose
Beautiful 1 bedroom in Sunnyside Gardens,"$2,400",Sunnyside
1 bedroom apartment in Astoria By Owner,"$2,000","Astoria,Queens"
Renovated 3 Bed in Crown Heights w/Roof Access!!,"$3,500",Crown Heights
"Modern & Convenient 🏠 🔑 (1 Month Free) !! (3 Bed) By JFK, A/J Train","$3,000",Ozone Park / Howard Beach / Woodhaven / Crossbay
"Renovated (3 Bed) 1 Month Free !!! Close to JFK, by A/J Trains","$3,000",Ozone Park / Woodhaven / Howard Beach / East NY
"Ozone Park (3 Cuartos) 1 Mes Gratis !!! Cerca de JFK, A/J Tren","$3,000",Ozone Park / Woodhaven / Howard Beach / East NY
1st Floor ( 1 Bed ) 1 Month Free !! Close to 2 / 5 Trains,"$2,500",Flatbush / Prospect Park South
Railroad style ( 2 Bed ) 1 Month Free !! Close to 2 / 5 Trains,"$2,700",Flatbush / Prospect Park South
***  3 BEDROOM FOR RENT *****,"$3,000",Sunnyside
2br-2ba + Balcony__*NO FEE*__**LUXURY**__Sunset Park Slope Greenwood,"$3,050",Sunset Park__________________________________________
Available Now,"$2,100",HEMPSTEAD
$2100 / 1BR 875sqft,"$2,100",Valhalla/Thornwood
2 Bed 1 Bath Yonkers Parking may be Available,"$2,000",Yonkers
Amazing Renovated 2 Bed in Prime Crown Heights!,"$3,100",Crown Heights
Massive One Bedroom w/ laundry in unit!! ☀️🌆 NO FEE,"$2,326",Crown Heights
"Modern 5 Bed, 2 Bath Apt, Laundry, dishwasher","$5,000",Brooklyn
PRICE DROP!!XL 2BDRM/1BATH!!!AMAZING DEAL!!DON'T MISS OUT !!,"$2,999",BROOKLYN
Spacious Renovated 2 Bed in the Heart of Crown Heights!,"$2,775",Crown Heights
**No Broker Fee** 1.5BR Available Now! 134 Boerum St,"$2,600","Williamsburg, Brooklyn"
"High Floor unit with PVT Balcony, W/D IN UNIT! Gorgeous Finishes!","$4,850",Long Beach
Newly Finished Waterfront Studio!,"$3,700",Long Beach
2 bed 1 bath Southport,"$2,300",Southport
3BedRms 1.5BathRm Parking Belair Rd 1stFL+2ndFL Staten Island NY 10305,"$2,800",Staten Island NY
WOW!GREAT DEAL!!WON'T LAST!KING SIZE BDRMS,"$2,999",BROOKLYN
Spacious 2 Bed in Prospect Heights Luxury Building!,"$3,999",Prospect Heights
"Gorgeous 1 Bedroom PVT Balcony, W/D IN UNIT! Gorgeous Finishes!","$4,550",Long Beach
"Fabuloso Con 1 Mes Gratis !!! 💝 ( 3 Cuartos ) Cerca de JFK, Tren A/J","$3,000",Ozone Park / Howard Beach / Woodhaven / Crossbay
Big renovated duplex w/ Large private backyard+a/c+dishwasher+laundry,"$4,000",Bushwick @ Morgan L + Central M
Huge 4.5/5bed2bath + basement duplex+w/d in unit+private backyard+more,"$5,000",Bed Stuy @ Bedford/Nostrand G + Nostrand A/C
"NO FEE- CLEAN, SUNNY, 1 BEDROOM -move now","$2,300",East Harlem
"$2,3oo 1Bed 1Bath w/Parking ~ 1st Floor",$2,"82st, Jackson Heights ~ near #7 train & LGA Airport"
2 BEDROOM APARTMENT (GREAT SPACE),"$2,800",BUSHWICK
No Fee Luxury 2 Bed/2 Bath Historic Landmark Movie Theater Conversion,"$4,125",Bushwick Brooklyn Ridgewood Queens
"AMAZING 2 BEDROOM & OFFICE SPACE! ""L""&""M"" Myrtle/Wyckoff Station!","$4,000",Ridgewood
2 Bed/ 1 bath in Prime Bushwick Maria Hernandez,"$2,899",Bushwick
Prime Bushwick MH Park 1 bed Duplex DW/WD/Backyard/Roofdeck,"$3,499",Bushwick
Beautiful Large 3br 2 bath in Bushwick,"$3,395",Bushwick
YOU SHOULD ❤️YOUR APT! GORGEOUS LOFT STUDIO-DM/ELEV/LDRY-SEP KIT-DW-AC,"$4,100",East Village
Prime Location!! Stylish 1 Bedroom Retreat,"$3,250",Financial District
Room for Everyone!!! Stylish 3- Bedroom Retreat,"$4,750",Financial District
Lease Takeover - The Rheingold 1BD/1BA (646 sqft) Ground Fl+Patio!,"$3,508",Bushwick
Sweet Deal,$850,Midwood
Discover your new Home on Lower East Side!  New Finishes.,"$5,295",Lower East Side
This is just a medium size room for rent in a  bsmt,"$1,000",Sunset park Brooklyn
✨AMAZING RIDGEWOOD 4 BED/2 FULL BATH!! NO FEE!!✨,"$3,700",Ridgewood
PERFECT PLACE FOR 4!✨ 4 BED & 4 FULL BATHS!✨TONS OF LIVING SPACE!,"$4,800",Brooklyn
____________X LARGE LOFT w Bright Windows & Exposed Brick_____________,"$3,800",WILLIAMSBURG right @ L train JEFFERSON Stop_________________
#close#to#Maimonides&NYU#hospital/ Industry City area,"$2,100",Sunset park/Brooklyn
**No Broker Fee** 1BR Available Now! 95 Seigel St,"$2,850","Williamsburg, Brooklyn"
Prime Crown Heights Huge 1 Bedroom,"$2,400",Brooklyn
3 bedroom 1.5 triplex with private backyard and basement near prospect park,"$3,300",Prospect park
1BR 1BA Parlor Level Floor Through In Restored Brownstone,"$2,800",Bedford Stuyvesant
"__""L"" MORGAN___""LARGE SIZE"" ! __ALL OPEN_""LOFT""_______________________","$4,795","__WILLIAMSBURG__""L"" MORGAN"
Spacious Studio with Modern Finishes in Luxury Building,"$3,300",Financial District
Fully Renovated Duplex! LAUNDRY IN UNIT! - NO FEE!!,"$2,595",Bedford-Stuyvesant
Spacious and Modern Junior One Bedroom in Luxury Building,"$4,000",Financial District
PRIVATE BACKYARD! NEWLY RENOVATED! GREAT SUNLIGHT! KING SIZE BEDROOM!,"$2,795","BEDSTUY AT THE G MYRTLE & J,M,Z TRAINS"
"NO FEE 1 BED FLEX 2 IN 24H DOORMAN, Full Service","$4,350",Financial District
BRAND NEW ASTORIA 2BD/2BA W/ W&D NEAR N & W TRAINS,"$4,150",Astoria
NEWLY RENOVATED 3 BED 1 BATH,"$2,100",Westside
** RENOVATED STUDIO ** ALL UTILITIES INCLUDED ** WONT LAST **,"$1,800",Throggs Neck
Deal of the Week,"$1,236",Brownsville
** RENOVATED ** 2 BED ** 1 BATH ** PRIVATE BACKYARD ** WONT LAST **,"$2,500",Throggs Neck
✨🌻AMAZING 2 BED PLUS LOFT!! ONLY 1 BLOCK TO BOTANICAL GARDENS!🌻✨,"$3,500",CROWN HEIGHTS/PROSPECT HEIGHTS!
"Great space for every taste. You'll love our 1 bed, 1 bath!","$2,065",Stamford
"We fit your lifestyle! 2 bedroom, 1 bath!","$2,095",Stamford
** RENOVATED ** 3 BED ** 1 BATH ** STAINLESS STEEL APPLIANCES **,"$3,777",Throggs Neck
Desirable Top-Floor 2 Bedroom Unit,"$2,800",Throggs Neck
"Newly constructed, spacious 1 bedroom apartment","$3,050",Jersey City
Gorgeous 1BR in Luxury Amenity Building in LEFFERTS GARDENS - No Fee!,"$2,840",Prospect Lefferts Gardens
3 Bedroom / 1 Bath Walk In Unit,"$3,200",Throggs Neck
Gorgeous 2BR 2bath in Luxury Building in LEFFERTS GARDENS - No Fee!,"$3,800",Prospect Lefferts Gardens
Art Deco FiDi gem for Young Professionals,"$2,900",Financial District
4 BED 4 BATH TRIPLEX,"$4,699",Bushwick Brooklyn
"Gorgeous 2BR w/ Large Terrace, in Amenity Bldng in LEFFERTS GARDENS","$3,300",Prospect Lefferts Gardens
Quant 1 Bedroom Apartment,"$2,100",Throggs Neck
Cozy 1 Bedroom Apartment in Heart of Kew Gardens!,"$2,375",KEW GARDENS
**Sunny 3 Bed in Carroll Gardens**,"$4,217",Brooklyn
**SUNNY 3 Bed/ 2 Bath in FLATBUSH**,"$2,950",Brooklyn
83RD STREET AND BROADWAY TWO BEDROOMS NEAR #7 M R TRAIN 30MIN TO N Y C,"$2,250",ELMHURST
"Stunning 3BR/2BA, with in-unit Washer-dryer in CROWN HEIGHTS - No Fee!","$3,450",Crown Heights
"BEAUTIFUL CROWN HEIGHTS 3BD W/ W&D NEAR PROSPECT PARK & 2, 5 TRAINS","$3,295",Crown Heights
Zen Den: 2-Bed City Escape with Serene Vibes,"$2,900",Financial District
3 bedroom apartment for rent by owner,"$2,600",queens
Penthouse Paradise: Modern Design Meets Urban Living,"$2,850",Financial District
Gorgeous 2BR in Amenity Bldng in LEFFERTS GARDENS - No Fee!,"$3,125",Prospect Lefferts Gardens
Modern Brand New 1.5 bedroom apartment in Prime Crown Heights!,"$2,495",Crown Heights
1 BedRm 1 BathRm Grant street  2nd FL Staten Island NY 10301,"$1,350",Staten Island NY
Nice 2 BedRms 1 BathRm Grant Street 2nd FL Staten Island NY 10301,"$1,750",Staten Island NY
Modern 3 bedrooms 1 Bathroom Thomas St 2nd FL Staten Island NY 10306,"$2,800",Staten Island NY
Ground Floor Large 3 bedroom Apartment,"$3,606",Wakefield - Bronx
Nice 3 Bedrooms 1 Bathroom Thomas St 1st FL Staten Island NY 10306,"$2,800",Staten Island NY
Nice 2 BedRms 1BathRm Amboy Rd 2nd FL Front Apt Staten Island NY 10308,"$1,800",Staten Island NY
3 Bed 1 Bath House in Yonkers,"$2,800",Yonkers
Brand New 3 Bedrooom Apt Private House,"$3,500",Arverne
Lovely 2 bedroom apt,"$3,500",Brooklyn
"3bed/3bath next to Maria Hernandez, W/D in-unit!","$3,650",Bushwick
NO BROKER FEE / South Slope 3 Bed 2 Bath / Washer Dryer,"$5,000",South Slope
SUPER BRIGHT☀️AND LARGE🔥4 BED! W/D IN UNIT🧺,"$4,000",BUSHWICK 📍📍🌳🌳
NO BROKER FEE / Spacious Bushwick 2-bed 1-Bath / Terrace,"$3,725",Bushwick
NEW RENOVATIONS🔥BEAUTIFUL 2 BED🤩NO FEE🚨,"$2,700",CROWN HEIGHTS 🌳📍🌳📍
RIGHT OFF FRANKLIN AVE📍📍2 BED PLUS OFFICE🔥🔥,"$3,600",CROWN/PROSPECT HEIGHTS
STEAL DEAL🚨BRIGHT ☀️AND LARGE🔥2 BED IN WILLIAMSBURG📍📍📍,"$3,300",WILLIAMSBURG 📍📍🌳🌳
Two Bedroom Apartment Weeksville move in ready,"$2,300",Crown Heights
Spacious 3 Bedroom 2 Bathroom On Upper East Side,"$5,895",Upper East Side
"Bushwick 3BD/1BA - Boxed Style, 2nd Fl, Heat/Hot Water Included","$3,000",Bushwick
🔥 MASSIVE 2 bed 2 bath sunkissed apt/ Big windows laundry in unit🔥,"$4,400",Prospect Heights
No Fee Three Bedroom,"$4,200",Greenwood/Park Slope
🥳Spacious sunkissed 3 bed 2 bath apt on Meeker ave🥳 1 month free!,"$5,200",Williamsburg
🎊Spacious 2 bed 1 bath apt in Bushwick 🎊No Fee🎊 next door to Cafe!,"$3,000",Bushwick
🚨Spacious 3 bed 2 bath apt in Crown Heights/ 2 months FREE 🚨,"$5,800",Crown Heights
🔥LOCATION! Williamsburg 3 bed in a elevator building/Sauna/Roof Top🔥,"$5,500",Williamsburg
ENY CUTE STUDIO AVAILABLE FOR AN IMMDIATE MOVE!,"$1,300",EAST NEW YORK
OLD MILL BASIN - SUPERB 1BR UNIT AVAIABLE 10/2,"$2,000",PLEASE REFERE TO CODE #OLD MILL BASIN
"!!SPACIOUS, BRIGHT 2 BEDROOM APARTMENT!!","$2,800",Peham Bay
"*No fee* East village, great lighting, apartment for rent","$3,324",East Village
CANARSIE 1BR UNIT $2000 ALL UTLITIES INCLUDED AVAILABLE ASAP!,"$2,000",PLEASE REFER TO CODE #CANARSIE
